seed,policy_mode,use_hysteresis,steps,fault_events,transitions,transitions_per_hour,nominal_pct,throttle_pct,safe_pct,recover_pct,safe_segments,safe_mean_duration_steps,power_min,power_max,temp_min,temp_max,flapping_index,experiment
14,rule_based,False,240.0,8.0,34.0,8.5,57.083333333333336,30.0,2.5,10.416666666666666,5.0,1.2,57.77034367217108,140.85874496744992,15.853208920535891,28.23063789947067,3.7777777777777777,exp_minor
15,rule_based,False,240.0,3.0,29.0,7.25,62.083333333333336,27.916666666666668,2.5,7.5,6.0,1.0,56.135993417295595,143.30622278032683,15.709221928313653,28.729273353634582,7.25,exp_minor
16,rule_based,False,240.0,7.0,44.0,11.0,56.666666666666664,28.75,2.9166666666666665,11.666666666666666,7.0,1.0,56.52307925184587,142.0334676401194,15.785382635961664,29.07396988344504,5.5,exp_minor
17,rule_based,False,240.0,6.0,35.0,8.75,60.0,28.333333333333332,2.9166666666666665,8.75,7.0,1.0,54.69358929770071,141.16539898027818,15.733561699860594,28.416118085860994,5.0,exp_minor
18,rule_based,False,240.0,5.0,36.0,9.0,60.833333333333336,25.0,3.3333333333333335,10.833333333333334,6.0,1.3333333333333333,52.45542074274864,141.2658688314983,15.701542667325398,27.453074739488073,6.0,exp_minor
19,rule_based,False,240.0,5.0,31.0,7.75,60.416666666666664,29.583333333333332,2.5,7.5,6.0,1.0,53.72524465399873,139.6315497296879,16.344447896677025,28.065261315795176,5.166666666666667,exp_minor
20,rule_based,False,240.0,7.0,44.0,11.0,53.333333333333336,29.166666666666668,4.166666666666667,13.333333333333334,10.0,1.0,55.38371655457962,140.59308680886383,16.463975725829386,28.22978693268193,5.5,exp_minor
21,rule_based,False,240.0,6.0,35.0,8.75,62.5,23.75,3.3333333333333335,10.416666666666666,6.0,1.3333333333333333,56.08696310850446,141.14485702948974,15.716089798681264,27.667345614309948,5.0,exp_minor
22,rule_based,False,240.0,5.0,33.0,8.25,63.333333333333336,27.5,3.3333333333333335,5.833333333333333,4.0,2.0,56.7871954625755,142.30564115047957,15.785580682346815,27.401537088358456,5.5,exp_minor
23,rule_based,False,240.0,7.0,35.0,8.75,59.583333333333336,28.333333333333332,2.5,9.583333333333334,6.0,1.0,52.8356247943794,141.6701409169848,15.616845541991609,27.251140062075155,4.375,exp_minor
24,rule_based,False,240.0,5.0,35.0,8.75,60.0,29.166666666666668,2.0833333333333335,8.75,5.0,1.0,54.10290467537283,140.40519485532107,14.831922495864681,28.590953747836064,5.833333333333333,exp_minor
25,rule_based,False,240.0,8.0,32.0,8.0,57.916666666666664,29.166666666666668,2.5,10.416666666666666,5.0,1.2,55.85951700407506,142.19227079908146,15.459482406875964,27.739686221486135,3.5555555555555554,exp_minor
26,rule_based,False,240.0,3.0,33.0,8.25,64.16666666666667,29.166666666666668,1.6666666666666667,5.0,3.0,1.3333333333333333,53.930040930167294,141.8730577675352,16.668303920740826,29.152495075037326,8.25,exp_minor
27,rule_based,False,240.0,5.0,30.0,7.5,58.75,32.916666666666664,1.6666666666666667,6.666666666666667,4.0,1.0,54.27162284409252,141.87212813408053,16.48629689658281,28.271657130929142,5.0,exp_minor
28,rule_based,False,240.0,1.0,25.0,6.25,63.333333333333336,31.25,1.25,4.166666666666667,2.0,1.5,57.22738915551436,141.92869088153878,15.916767317750683,27.50535017791358,12.5,exp_minor
29,rule_based,False,240.0,3.0,28.0,7.0,63.333333333333336,26.25,2.9166666666666665,7.5,5.0,1.4,55.92408822999785,145.3820654292666,15.768170450162547,27.827466552812723,7.0,exp_minor
30,rule_based,False,240.0,6.0,33.0,8.25,62.916666666666664,30.416666666666668,1.25,5.416666666666667,3.0,1.0,54.56639682074487,140.99784692546888,15.968907614210078,28.267079060998697,4.714285714285714,exp_minor
31,rule_based,False,240.0,2.0,34.0,8.5,62.083333333333336,26.666666666666668,3.3333333333333335,7.916666666666667,6.0,1.3333333333333333,56.68411996459322,141.5965703043751,14.420261901465327,27.655912273469475,11.333333333333334,exp_minor
32,rule_based,False,240.0,6.0,37.0,9.25,61.666666666666664,29.583333333333332,2.0833333333333335,6.666666666666667,4.0,1.25,55.455293853911755,143.95532491305363,15.98496858351929,27.80921267472029,5.285714285714286,exp_minor
33,rule_based,False,240.0,2.0,31.0,7.75,62.5,29.583333333333332,2.5,5.416666666666667,5.0,1.2,57.70618457999316,141.4882866570822,16.790655898675187,27.893637556250315,10.333333333333334,exp_minor
34,rule_based,False,240.0,5.0,30.0,7.5,60.0,25.0,2.9166666666666665,12.083333333333334,7.0,1.0,55.65464223361212,144.1390481291089,15.057344952347723,28.461832710844128,5.0,exp_minor
35,rule_based,False,240.0,3.0,30.0,7.5,60.833333333333336,31.666666666666668,1.25,6.25,3.0,1.0,52.597485239285504,143.8894904914556,15.811871204859177,28.399562034714936,7.5,exp_minor
36,rule_based,False,240.0,7.0,31.0,7.75,61.25,31.25,1.6666666666666667,5.833333333333333,3.0,1.3333333333333333,54.820891000687794,142.42115909109367,16.45797481128612,28.52692322005016,3.875,exp_minor
37,rule_based,False,240.0,4.0,30.0,7.5,64.16666666666667,24.583333333333332,3.3333333333333335,7.916666666666667,6.0,1.3333333333333333,55.13683699457957,141.29516522213052,15.292948290730088,27.036170208105617,6.0,exp_minor
38,rule_based,False,240.0,3.0,32.0,8.0,62.916666666666664,25.833333333333332,2.5,8.75,6.0,1.0,55.46702724781504,140.88382158770574,14.987185024842805,27.95753228097004,8.0,exp_minor
39,rule_based,False,240.0,6.0,35.0,8.75,60.416666666666664,25.833333333333332,4.166666666666667,9.583333333333334,7.0,1.4285714285714286,54.34779150605601,140.76403817462065,16.477022178474833,27.88040050790286,5.0,exp_minor
40,rule_based,False,240.0,4.0,26.0,6.5,63.333333333333336,31.666666666666668,0.8333333333333334,4.166666666666667,2.0,1.0,58.268662973863314,145.61082028481314,16.278743114933587,27.244765579290924,5.2,exp_minor
41,rule_based,False,240.0,7.0,24.0,6.0,58.75,29.583333333333332,2.5,9.166666666666666,5.0,1.2,54.44960145583022,141.41890951544923,15.185866838403182,29.519457395877716,3.0,exp_minor
42,rule_based,False,240.0,3.0,20.0,5.0,63.75,22.916666666666668,2.9166666666666665,10.416666666666666,5.0,1.4,58.27014392456084,144.66635531965568,16.237793869029588,27.915647584821773,5.0,exp_minor
43,rule_based,False,240.0,11.0,41.0,10.25,57.083333333333336,29.166666666666668,4.166666666666667,9.583333333333334,6.0,1.6666666666666667,56.790014951160146,146.14360180165016,14.940559305262166,28.386936331511038,3.4166666666666665,exp_minor
44,rule_based,False,240.0,4.0,29.0,7.25,62.083333333333336,27.083333333333332,4.583333333333333,6.25,5.0,2.2,54.2663487279503,141.5982435292228,15.98267437379037,27.260561134897934,5.8,exp_minor
45,rule_based,False,240.0,5.0,37.0,9.25,61.666666666666664,26.25,2.9166666666666665,9.166666666666666,7.0,1.0,57.9069160179496,144.45141193740622,15.871174393614297,26.813566317965687,6.166666666666667,exp_minor
